# File generated by CMD 2.4 (http://stev.oapd.inaf.it/cmd) on Mon Oct 29 23:21:36 CET 2012
# PARSEC isochrones, early release (v0.1)
# Basic reference: Bressan et al. (2012, MNRAS in press, arXiv:1208.4498)
# Warning: no TP-AGB phase is included! They are still in preparation.
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001, A&A 342, 531)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.01900	Y = 0.28242	[M/H] = 0.119	eta_R = 0.200	Age = 	3.9811e+06 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	0.019000	6.6000	0.96843857	0.9684	-0.1460	3.6419	4.0838	5.135	7.901	6.908	5.759	5.050	4.475	3.649	2.957	2.872	3.13186216	0
	0.019000	6.6000	0.99659610	0.9966	-0.1247	3.6447	4.0862	5.082	7.797	6.821	5.682	4.982	4.417	3.603	2.920	2.836	3.13986754	0
	0.019000	6.6000	1.01843858	1.0184	-0.1068	3.6470	4.0866	5.037	7.712	6.749	5.619	4.926	4.369	3.564	2.888	2.805	3.14576030	0
	0.019000	6.6000	1.05540669	1.0554	-0.0797	3.6506	4.0895	4.969	7.579	6.639	5.521	4.841	4.297	3.505	2.841	2.760	3.15513539	0
	0.019000	6.6000	1.06843853	1.0684	-0.0704	3.6519	4.0905	4.946	7.533	6.602	5.489	4.813	4.272	3.485	2.826	2.745	3.15827346	0
	0.019000	6.6000	1.07429624	1.0743	-0.0661	3.6524	4.0909	4.935	7.512	6.585	5.474	4.800	4.261	3.476	2.818	2.738	3.15965724	0
	0.019000	6.6000	1.11843848	1.1184	-0.0305	3.6568	4.0905	4.846	7.345	6.449	5.354	4.695	4.167	3.399	2.757	2.679	3.16958284	0
	0.019000	6.6000	1.13819849	1.1382	-0.0165	3.6587	4.0915	4.811	7.278	6.394	5.306	4.654	4.130	3.369	2.733	2.657	3.17375708	0
	0.019000	6.6000	1.20265782	1.2027	0.0309	3.6649	4.0928	4.693	7.049	6.209	5.144	4.513	4.005	3.268	2.653	2.580	3.18634748	0
	0.019000	6.6000	1.20413959	1.2041	0.0320	3.6650	4.0928	4.690	7.044	6.205	5.140	4.510	4.002	3.265	2.652	2.578	3.18661976	0
	0.019000	6.6000	1.25265777	1.2527	0.0688	3.6697	4.0920	4.598	6.869	6.063	5.015	4.401	3.905	3.186	2.589	2.518	3.19515324	0
	0.019000	6.6000	1.26545203	1.2655	0.0775	3.6709	4.0924	4.576	6.826	6.028	4.985	4.375	3.882	3.168	2.574	2.504	3.19728589	0
	0.019000	6.6000	1.30265784	1.3027	0.1078	3.6747	4.0896	4.500	6.684	5.913	4.883	4.285	3.802	3.102	2.522	2.454	3.20321822	0
